,product,price,rating
0,GoPro Hero9 Sports and Action Camera,35490.0,4.3
1,GoPro HERO8 Black Sports and Action Camera,30357.0,4.2
2,GoPro Hero 10 Magnetic Swivel Clip Rechargable Battery & Shortly Mini Extension Pole Tripod Sports and...,47252.0,4
3,GoPro Hero11 Creator Edition Sports and Action Camera,71500.0,
4,"GoPro Hero 9 bundle, with extra Rechargeable Battery, Remote and Case HERO9 Sports and Action Camera",37999.0,3.9
5,"GoPro HERO11 Bundle Extra Enduro Battery, The Handler (Floating Hand Grip) Headstrap with Quick Clip S...",52999.0,
6,GoPro Mini Hero11 Sports and Action Camera,40990.0,
7,GoPro MAX Sports and Action Camera,45176.0,4.4
8,"GoPro Hero 10 Bundle with Sling Bag Rechargeable battery(Waterproof, Front & Rear DualScreen, 5.3K60 U...",58850.0,3.5
9,Clipface GoPro Action Camera Go Pro ActionCamera 4k 16MP Wifi Waterproof Action Camera DV Camcorder Sp...,1885.0,2.8
10,Cam1Tek GOPRO ACTION CAMERA Go Pro ActionCamera 4k 16MP Wifi Action Camera Sports Action Camera DV Cam...,2190.0,3.3
11,1CAMPRO GOPRO ACTION CAMERA GoPro Action Camera 4k16MP Wifi 30M Waterproof Action Camera Sports DV Cam...,1999.0,2.8
12,Visicube GoPro Action Camera 4k 16MP Wifi 30M Waterproof Action Camera Sports Camera DV Camcorder Came...,2399.0,2.7
13,GoPro Hero Sports and Action Camera,14999.0,4.2
14,"GoPro Hero 10 Waterproof with Front LCD and Touch Rear Screens, 5.3K60 Ultra HD Video, 1080p Live Stre...",47252.0,3.5
15,Mirroreye GoPro Action camera GoPro Action Camera 4k16MP Wifi 30M Waterproof Action Camera Sports DV C...,1995.0,2.8
16,CAM4U GoPro Action Camera 4k Go Pro ActionCamera 16MP wifi waterproof Action Camera Sports Camera Spor...,2290.0,2.9
17,namoenterprices GoPro Action Camera GoPro ActionCamera 4k 16MP Wifi 30M Waterproof Action Camera Sport...,2440.0,2.9
18,Visicube GoPro Action Camera Sports Camera 1080P Wide Angle and MULTI-LANGUAGE with waterproof case Sp...,1499.0,3.1
19,Visicube Go Pro Sports Camera Action Camera 1080P Wide Angle and MULTI-LANGUAGE with waterproof case S...,1249.0,2.7
20,Visicube GoPro Wifi Action Camera 16MP Wifi 30M Waterproof Sports Camera Action Camera DV Camcorder Ca...,2499.0,3.1
21,Visicube GoPro Action Camera Sports Camera 4k Wifi 30M Waterproof Action Camera Sports Camera Camcorde...,2499.0,2.8
22,ALA GO PRO Portable Waterproof HD Sports and Action Camera,1100.0,2.8
23,IMPLY GO PRO 4K Full HD WiFi 30M Waterproof Sports Action Camera Waterproof DV Camcorder 16MP Sports a...,1849.0,2.6
